age,address,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,outcome,first_name,second_name,age_group,date,geo_category,frequency
29,"971 DAX BRIDGE ST.\NEAST TODMOUTH, TN 59329",management,single,tertiary,False,572,False,False,cellular,16,dec,314,1,195,1,success,True,horace,kautzer,2,16/12,water,10
28,"9234 BORER MEADOW AVE.\NPORT LUNABOROUGH, NJ 36987",blue-collar,married,secondary,False,1137,False,False,cellular,6,feb,129,4,211,3,other,False,zachariah,sipes,2,06/02,water,10
55,"152 dudley manor st.\nconnhaven, nd 51136",management,married,primary,False,2587,False,False,cellular,4,sep,328,2,94,2,success,True,bethany,mitchell,5,04/09,flat,8
50,"71580 BAILEY FLAT\NWEIMANNBERG, ID 31648-0974",management,married,tertiary,False,4,False,False,cellular,17,nov,223,1,96,2,failure,False,elwin,gislason,5,17/11,flat,8
52,"84268 Amira Path\nSouth Steveberg, HI 75159-8489",technician,married,secondary,False,195,True,False,cellular,18,feb,220,1,63,5,failure,True,kirstin,brakus,5,18/02,flat,8
57,"9708 Karson Trafficway Ave.\nNew Delta, ND 02460-1604",technician,divorced,primary,False,13,True,False,cellular,8,may,323,2,368,2,failure,False,mohammed,larson,5,08/05,flat,8
54,"0896 MARQUIS3 PATH \NDUSTYSHIR3, HI 30293",blue-collar,married,secondary,False,0,False,False,telephone,16,apr,1366,1,150,1,failure,False,augustine,schumm,5,16/04,flat,8
57,"461 Federico Village Apt. 482\nNew Oleta, PW 67748-9038",blue-collar,married,secondary,False,1521,True,True,cellular,18,may,102,2,178,5,failure,False,carleton,dickinson,5,18/05,flat,8
58,"734 VINCENZA GARDEN ST.\NHANKBURY, AP 25707-8323",retired,married,secondary,False,3382,False,True,cellular,28,may,294,2,309,2,failure,False,lydia,corkery,5,28/05,flat,8
54,"2252 SKILES TURNPIKE AVE.\NHARBERBURGH, PR 04660",services,divorced,secondary,False,1012,True,False,cellular,12,may,33,3,175,2,other,False,natalia,ziemann,5,12/05,flat,8
77,"064 Jenifer Hills Apt. 691\nWilmafurt, WV 44131-4905",retired,married,tertiary,False,7802,False,False,telephone,4,may,421,1,92,2,success,True,vince,smith,7,04/05,relief,5
71,"9057 DuBuque Cliffs Ave.\nWest Ted, MP 02850",technician,married,tertiary,False,383,False,False,cellular,27,oct,327,2,183,3,success,False,clay,rempel,7,27/10,relief,5
70,"141 Emelie Hills St.\nJarodberg, AK 83552",retired,married,secondary,False,1164,False,False,telephone,14,may,338,3,185,2,failure,False,celestine,kshlerin,7,14/05,relief,5
71,"98754 HICKLE DALE\NAUSTENMOUTH, VI 00468",unknown,married,tertiary,False,353,False,False,cellular,27,jan,208,1,93,2,failure,False,remington,deckow,7,27/01,relief,5
73,"0400 Rocky Vista Ave.\nMonserratebury, TN 37001-2765",retired,married,unknown,False,519,False,False,telephone,16,oct,434,1,57,1,failure,True,derrick,murazik,7,16/10,relief,5
53,"361 Ericka Hills St.\nNew Zechariah, OK 18316",management,married,tertiary,False,1319,True,False,cellular,16,apr,427,1,150,1,failure,False,tierra,ledner,5,16/04,relief,10
54,"905 Freeman Mountains St.\nSouth Hoseaberg, NV 28541-3365",unknown,married,secondary,False,2206,False,False,cellular,12,nov,104,1,99,2,other,True,juliana,hirthe,5,12/11,relief,10
50,"223 LISA HILLS ST.\NNORTH RAINA, MP 12638-5694",management,married,tertiary,False,4374,True,False,cellular,21,nov,163,2,113,3,failure,False,maximilian,kemmer,5,21/11,relief,10
52,"05112 N0r3n3 Fall\nGrim3sshir3, AL 73377",technician,married,secondary,False,1818,False,True,cellular,17,nov,189,2,111,4,failure,False,alverta,thiel,5,17/11,relief,10
56,"581 V0n Vista \nW0lft0n, CT 84700",retired,divorced,primary,False,694,False,False,cellular,29,jan,144,1,102,1,other,True,junior,schumm,5,29/01,relief,10
50,"232 AMELY VIEWS \NNORTH ADRIEN, SD 32643",management,divorced,tertiary,False,356,False,False,cellular,8,may,198,2,358,5,other,False,foster,ortiz,5,08/05,relief,10
51,"644 WILDERMAN MOUNTAIN ST.\NHILLSSIDE, MO 30911-0495",blue-collar,married,primary,False,377,True,False,telephone,3,feb,143,4,272,1,failure,False,lon,morissette,5,03/02,relief,10
54,"181 Lehner Valley Suite 398\nBednarstad, AK 00087-9422",housemaid,married,unknown,False,0,False,False,cellular,14,apr,94,5,145,3,other,False,horace,schuster,5,14/04,relief,10
50,"022 IVY RIDGE APT. 312\NBRITTANYBOROUGH, AR 68790",technician,single,secondary,False,246,True,False,cellular,17,nov,270,1,123,2,failure,False,kianna,welch,5,17/11,relief,10
51,"0856 W3ST SUMMIT \NZ3CHARIAHB0R0UGH, WV 11103",management,married,tertiary,False,176,True,True,unknown,1,jun,8,1,687,2,failure,False,lesly,watsica,5,01/06,relief,10
55,"584 Ken Hollow St.\nPort Janelle, PA 53950",housemaid,divorced,primary,False,976,False,False,cellular,28,jun,345,1,94,3,other,True,brock,jerde,5,28/06,water,12
58,"3477 virginie ports apt. 731\nsouth ernestview, ap 32074-6123",self-employed,married,primary,False,1013,True,False,cellular,11,aug,206,1,461,1,failure,True,lamar,hand,5,11/08,water,12
59,"3993 keebler brooks ave.\nwest jaidentown, ak 22866",technician,married,secondary,False,1,False,False,cellular,15,apr,159,2,378,3,failure,True,eveline,krajcik,5,15/04,water,12
50,"8619 DECKOW PORT APT. 972\NNORTH VERLA, MD 95503",management,married,tertiary,False,-470,True,False,cellular,8,may,506,2,170,3,failure,False,yvonne,wilkinson,5,08/05,water,12
51,"106 walsh island st.\neast susana, co 32576-9600",services,married,secondary,False,867,True,False,cellular,3,feb,177,2,211,3,failure,False,camila,mante,5,03/02,water,12
53,"09880 HAUCK ISLANDS\NNEW TREMAYNE, ID 47365",admin.,single,secondary,False,2398,True,False,cellular,2,aug,317,1,180,2,failure,True,xavier,dooley,5,02/08,water,12
59,"323 Purdy Shores Suite 122\nKielland, PW 73753-8583",technician,married,primary,False,4198,False,False,cellular,14,jan,309,1,91,10,success,True,madisyn,herman,5,14/01,water,12
57,"91278 Kailee Shores\nLake Ryann, WI 15408-0569",services,divorced,secondary,False,4664,False,False,cellular,21,nov,22,4,114,1,failure,False,wade,vandervort,5,21/11,water,12
58,"7398 CHRISTIANSEN RAPIDS AVE.\NSOUTH DOLLY, ID 88529-7114",management,married,secondary,False,139,False,False,cellular,27,may,188,1,161,2,other,False,frances,berge,5,27/05,water,12
50,"5402 Schaefer Islands \nConroyton, NC 12754",management,married,tertiary,False,-470,True,False,cellular,19,nov,130,2,160,1,failure,False,brielle,ritchie,5,19/11,water,12
53,"915 PROSACCO CAPE ST.\NSOUTH KATRINE, GA 52198",admin.,divorced,secondary,False,26,True,False,cellular,7,may,56,1,359,1,failure,False,emerald,considine,5,07/05,water,12
51,"2513 Melvina Shores \nEast Tyrell, VI 98898",management,married,tertiary,False,1612,False,False,cellular,16,mar,384,1,182,5,failure,False,cydney,windler,5,16/03,water,12
60,"8822 HARRIS FLAT SUITE 204\NGREENFELDERHAVEN, DC 30631-1386",admin.,divorced,secondary,False,174,True,False,cellular,15,may,241,1,364,1,failure,False,wilson,keebler,6,15/05,flat,2
69,"57518 Stanton Camp\nRitchieshire, CT 67945-2148",retired,married,tertiary,False,473,False,False,cellular,7,jul,112,1,78,1,failure,False,marjolaine,price,6,07/07,flat,2
29,"447 WAYNE TURNPIKE ST.\NLAKE ALANA, AE 72301",admin.,single,secondary,False,1448,False,False,cellular,10,mar,217,1,184,7,other,False,ashtyn,considine,2,10/03,flat,9
26,"9890 Zulauf Camp Suit3 006\nP0rt Dayna, KY 14436-9278",management,single,tertiary,False,592,False,False,telephone,29,jan,145,2,164,1,other,False,levi,skiles,2,29/01,flat,9
24,"774 Veda Parks \nGerlachside, GU 04469",student,single,secondary,False,822,False,False,cellular,27,oct,184,1,91,2,failure,True,roxane,schumm,2,27/10,flat,9
22,"28309 everardo gardens\nsouth krystalbury, or 02048-0715",student,single,secondary,False,2488,False,False,cellular,8,nov,449,2,38,10,other,True,alexa,runte,2,08/11,flat,9
28,"965 Bartoletti Plains St.\nHowellburgh, MI 72090",technician,single,secondary,False,1453,True,False,cellular,12,may,246,1,343,1,other,False,mason,koch,2,12/05,flat,9
28,"5442 Elmo Garden \nGoyettemouth, GU 38529",technician,married,secondary,False,232,True,True,cellular,29,jan,72,1,261,1,failure,False,arno,halvorson,2,29/01,flat,9
27,"9372 Ona Throughway Suite 185\nWest Loyview, PW 02699-0015",management,single,tertiary,False,390,False,False,cellular,28,oct,190,1,82,1,success,False,kane,larson,2,28/10,flat,9
29,"210 Isabel Garden \nJonesland, OH 75302",admin.,single,secondary,False,1070,True,False,unknown,19,may,30,1,357,1,other,True,jovanny,weber,2,19/05,flat,9
29,"203 schmitt throughway apt. 894\nmarkusfort, pa 94965-6958",housemaid,single,tertiary,False,19,False,False,cellular,5,feb,110,2,64,2,success,True,oswaldo,heidenreich,2,05/02,flat,9
28,"7329 Stamm M0t0rway Apt. 749\nLak3 Mandyb0r0ugh, GA 07285",admin.,married,secondary,False,-97,True,False,cellular,29,jan,79,1,225,2,success,False,jailyn,kilback,2,29/01,relief,6
28,"2755 Littel Dale Suite 309\nJeffreyton, PA 09248-2335",technician,single,secondary,False,769,True,False,cellular,15,may,153,1,371,2,failure,False,lexus,bradtke,2,15/05,relief,6
26,"6489 Ulises Valley Ave.\nKianchester, WV 83857",services,single,secondary,False,512,True,True,cellular,30,jan,206,5,239,3,failure,False,leanna,altenwerth,2,30/01,relief,6
29,"3723 anabel summit ave.\nlake elinore, ok 93800-0686",management,single,tertiary,False,21,True,False,cellular,14,may,107,4,371,3,failure,False,triston,collier,2,14/05,relief,6
29,"772 Ward Mountain St.\nWest Geoffreyville, AA 79542-4682",technician,married,tertiary,False,858,True,False,cellular,12,jun,234,7,330,1,failure,False,luciano,marvin,2,12/06,relief,6
26,"86256 Anibal View\nSouth Niko, MH 43019-6402",entrepreneur,married,tertiary,False,37,True,True,cellular,6,may,207,1,363,2,failure,False,armand,block,2,06/05,relief,6
77,"325 MONSERRATE ISLAND ST.\NWEST MINERVALAND, NM 17691",retired,married,primary,False,680,False,False,telephone,24,feb,513,2,89,7,failure,False,harley,wisoky,7,24/02,water,3
75,"8567 terence meadow ave.\nport brandymouth, il 98811-5804",blue-collar,married,secondary,False,6053,False,False,cellular,11,feb,865,2,190,1,failure,False,daija,koepp,7,11/02,water,3
70,"9572 addie fork apt. 919\nport otis, co 20866-7731",retired,married,secondary,False,616,False,False,cellular,27,apr,149,2,182,1,failure,False,stephon,batz,7,27/04,water,3
66,"29462 graciela forge\nport maximillia, sd 72797-0947",retired,married,primary,False,747,False,False,telephone,28,jan,203,3,93,1,failure,False,anita,murphy,6,28/01,water,1
60,"5063 sawayn summit apt. 965\ns0uth r3annahav3n, md 43624-3604",services,married,tertiary,False,4256,True,False,cellular,16,aug,239,3,761,1,other,True,tierra,doyle,6,16/08,relief,1
